Sample,Var2,Var3,Var4,Var5,Var6,Var7,FAMCICLOVIR_237_123Results,Var15,IS_CAFFEINEResults,Var39,IS_YOHIMBINEResults,Var41,IS_SULFAMETHOXAZOLEResults,Var45,DILTIAZEMHYDROCHLORIDE_372_151Results,Var57,DEXAMETHASONE_332_179Results,Var121,NORETHINDRONEACETATE_342_221Results,Var157
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P1-MV20A-T24,MZ012D-P1-MV20A-T24.d,Sample,,7/28/2018 7:24 AM,0.773,237254,1.936,1019245,1.936,9977265,2.137,4051004,2.484,2314957,3.894,1664925,5.180,2247
!,!,MZ012D-P1-MV20B-T24,MZ012D-P1-MV20B-T24.d,Sample,,7/28/2018 7:30 AM,0.786,309760,1.949,1090896,1.960,10129073,2.162,4248991,2.508,2443850,3.918,1786494,5.294,34127
!,!,MZ012D-P1-MV20C-T24,MZ012D-P1-MV20C-T24.d,Sample,,7/28/2018 7:37 AM,0.762,248225,1.937,1069757,1.937,10160495,2.138,4177863,2.485,2471912,3.894,1667792,5.181,1948
!,!,MZ012D-P1-MV20D-T24,MZ012D-P1-MV20D-T24.d,Sample,,7/28/2018 7:43 AM,0.783,330937,1.958,1074292,1.969,10464612,2.159,4200275,2.506,2794920,3.916,1792564,5.292,29836
!,!,MZ012D-P1-MV21A-T24,MZ012D-P1-MV21A-T24.d,Sample,,7/28/2018 7:50 AM,0.774,313721,1.938,1116069,1.938,9640214,2.139,4230820,2.486,2716839,3.895,1835693,5.193,3802
!,!,MZ012D-P1-MV21B-T24,MZ012D-P1-MV21B-T24.d,Sample,,7/28/2018 7:56 AM,0.784,292635,1.959,1152253,1.970,10166775,2.160,4381734,2.507,2506063,3.916,1883000,5.214,2621
!,!,MZ012D-P1-MV21C-T24,MZ012D-P1-MV21C-T24.d,Sample,,7/28/2018 8:03 AM,0.775,318290,1.938,1154026,1.938,9908888,2.128,4364822,2.486,2519622,3.896,1719063,5.272,19136
!,!,MZ012D-P1-MV21D-T24,MZ012D-P1-MV21D-T24.d,Sample,,7/28/2018 8:09 AM,0.775,267617,1.950,1119133,1.961,10094971,2.163,4346951,2.509,2500230,3.919,1871597,5.295,28589
!,!,MZ012D-P1-MV22A-T24,MZ012D-P1-MV22A-T24.d,Sample,,7/28/2018 8:15 AM,0.761,154166,1.936,1345405,1.936,10153252,2.137,4292198,2.484,2125821,3.894,5123,5.169,2134
!,!,MZ012D-P1-MV22B-T24,MZ012D-P1-MV22B-T24.d,Sample,,7/28/2018 8:22 AM,0.784,195160,1.959,1257385,1.970,10272120,2.160,4317166,2.507,2249015,4.968,1871,5.292,26980
!,!,MZ012D-P1-MV22C-T24,MZ012D-P1-MV22C-T24.d,Sample,,7/28/2018 8:28 AM,0.762,176450,1.937,1412347,1.937,10638815,2.138,4473540,2.485,2309409,3.895,1714,5.271,23130
!,!,MZ012D-P1-MV22D-T24,MZ012D-P1-MV22D-T24.d,Sample,,7/28/2018 8:35 AM,0.787,217626,1.961,1208853,1.961,10137743,2.163,4279632,2.509,2544197,3.919,2553,5.295,29149
!,!,MZ012D-P1-MV23A-T24,MZ012D-P1-MV23A-T24.d,Sample,,7/28/2018 8:41 AM,0.772,270940,1.936,1197853,1.936,9937446,2.137,4618413,2.484,4949753,3.894,1082074,5.270,58224
!,!,MZ012D-P1-MV23B-T24,MZ012D-P1-MV23B-T24.d,Sample,,7/28/2018 8:48 AM,0.784,200477,1.959,1125338,1.970,9791426,2.160,4408938,2.507,4346818,3.928,11291,5.304,65416
!,!,MZ012D-P1-MV23C-T24,MZ012D-P1-MV23C-T24.d,Sample,,7/28/2018 8:54 AM,0.775,212668,1.939,1160769,1.939,9660499,2.140,4459130,2.487,4258833,3.896,215289,5.272,61480
!,!,MZ012D-P1-MV23D-T24,MZ012D-P1-MV23D-T24.d,Sample,,7/28/2018 9:01 AM,0.785,180975,1.960,1128086,1.971,9856052,2.161,4416578,2.508,4394376,3.917,847345,5.293,74560
