ID;MV01;MV02;MV03;MV04;MV05;MV06;MV07;MV08;MV09;MV10;MV11;MV12;MV13;MV14;MV15;MV16;MV17;MV18;MV19;MV20;MV21;MV22;MV23;MV24;MV25;MV26;MV27;MV28
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis;0;0.16098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis|t__GCF_000156175;0;0.16098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.2442;0;0;0.00055;0;3.36094;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris|t__GCF_000156215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.2442;0;0;0.00055;0;3.36094;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.36841;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei|t__GCF_000225705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.36841;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_unclassified;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.49674;0;0;0;0;3.92858;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella;0.14216;0.66516;0.03574;0.47413;0;1.47921;1.13702;0.42816;0.15896;0.09441;0.0081;0.22831;0.05115;0.00086;0.4316;0.87388;0.08791;0.00307;0.03864;0.00151;0.30352;0.58159;1.28705;0;0.04843;1.69669;0.7599;0.70229
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta;0.00892;0.02807;0;0.14828;0;0.35378;0.06335;0.01271;0.01713;0.04654;0.00105;0.03635;0.02453;0;0.0936;0.03976;0.00939;0.00256;0.00354;0.00059;0;0.15118;0.41577;0;0.01541;0.44558;0.18463;0.05583
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta|t__GCF_000024265;0.00892;0.02807;0;0.14828;0;0.35378;0.06335;0.01271;0.01713;0.04654;0.00105;0.03635;0.02453;0;0.0936;0.03976;0.00939;0.00256;0.00354;0.00059;0;0.15118;0.41577;0;0.01541;0.44558;0.18463;0.05583
