# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.S082_2017_Jun_06_19_10_29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Tue Jun 06 19:17:20 EDT 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MZ002H-Pool01-P008B2-S082-T00(raw),MZ002H-Pool01-P008B2-S082-T12(raw),MZ002H-Pool02-P008B2-S082-T00(raw),MZ002H-Pool02-P008B2-S082-T12(raw),MZ002H-Pool03-P008B2-S082-T00(raw),MZ002H-Pool03-P008B2-S082-T12(raw),MZ002H-Pool04-P008B2-S082-T00(raw),MZ002H-Pool04-P008B2-S082-T12(raw),MZ002H-Pool05-P008B2-S082-T00(raw),MZ002H-Pool05-P008B2-S082-T12(raw),MZ002H-Pool06-P008B2-S082-T00(raw),MZ002H-Pool06-P008B2-S082-T12(raw),MZ002H-Pool07-P008B2-S082-T00(raw),MZ002H-Pool07-P008B2-S082-T12(raw),MZ002H-Pool08-P008B2-S082-T00(raw),MZ002H-Pool08-P008B2-S082-T12(raw),MZ002H-Pool09-P008B2-S082-T00(raw),MZ002H-Pool09-P008B2-S082-T12(raw),MZ002H-Pool10-P008B2-S082-T00(raw),MZ002H-Pool10-P008B2-S082-T12(raw),MZ002H-Pool11-P008B2-S082-T00(raw),MZ002H-Pool11-P008B2-S082-T12(raw),MZ002H-Pool12-P008B2-S082-T00(raw),MZ002H-Pool12-P008B2-S082-T12(raw),MZ002H-Pool13-P008B2-S082-T00(raw),MZ002H-Pool13-P008B2-S082-T12(raw),MZ002H-Pool14-P008B2-S082-T00(raw),MZ002H-Pool14-P008B2-S082-T12(raw),MZ002H-Pool15-P008B2-S082-T00(raw),MZ002H-Pool15-P008B2-S082-T12(raw),MZ002H-Pool16-P008B2-S082-T00(raw),MZ002H-Pool16-P008B2-S082-T12(raw),MZ002H-Pool17-P008B2-S082-T00(raw),MZ002H-Pool17-P008B2-S082-T12(raw),MZ002H-Pool18-P008B2-S082-T00(raw),MZ002H-Pool18-P008B2-S082-T12(raw),MZ002H-Pool19-P008B2-S082-T00(raw),MZ002H-Pool19-P008B2-S082-T12(raw),MZ002H-Pool20-P008B2-S082-T00(raw),MZ002H-Pool20-P008B2-S082-T12(raw),MZ002H-Pool21-P008B2-S082-T00(raw),MZ002H-Pool21-P008B2-S082-T12(raw),MZ002H-Pool97-P008B2-S082-T00(raw),MZ002H-Pool97-P008B2-S082-T12(raw),MZ002H-Pool98-P008B2-S082-T00(raw),MZ002H-Pool98-P008B2-S082-T12(raw),MZ002H-Pool99-P008B2-S082-T00(raw),MZ002H-Pool99-P008B2-S082-T12(raw),Compound Name,Mass,Retention Time,Frequency,Ionization mode,CompositeSpectrum
333.1522@2.060625,1,1,36655,1,1,37009,1,1,1,1,1,30403,1,42778,41610,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38582,1,1,1,1,1,38283,1,1,29498,1,1,1,1,1,1,333.1522@2.060625,333.1522,2.060625,8,+,"(334.1595, 12397.26)(335.1521, 958.25)(336.1663, 763.32)(667.3071, 1033.97)"
362.155@2.0717366,44019,48668,48752,1,1,27470,1,1,1,1,1,1,1,1,52190,48114,1,1,37982,1,48331,46745,44690,49837,1,1,1,43429,1,49507,1,1,46022,1,1,1,43968,1,27933,51183,1,45004,1,1,1,1,1,51753,362.155@2.0717366,362.155,2.0717366,19,+,"(363.1626, 9938.7)(364.1569, 2178.15)(365.1542, 6611.76)"
655.2891@2.071375,1,1,1,1,1,1,1,1,28523,1,27349,1,1,1,30925,1,1,1,1,1,28288,1,22753,1,1,1,1,1,26778,1,1,1,1,1,1,1,1,1,20025,1,1,1,1,1,1,1,26677,1,655.2891@2.071375,655.2891,2.071375,8,+,"(656.2901, 5118.01)(657.2793, 3370.93)(658.272, 1462.25)"
490.2442@2.0772498,766469,774851,735639,729693,736769,726447,760124,663709,1023322,972937,741238,680210,736067,724162,808148,724212,760833,953867,746360,671772,775459,763107,762306,719883,696532,714533,745314,758844,778235,754604,797246,698644,704141,679093,743587,687365,753484,757061,782450,754895,711850,712781,753344,759374,786755,755712,761107,723726,490.2442@2.0772498,490.2442,2.0772498,48,+,"(491.2514, 221400.55)(492.2543, 52606.16)(493.2611, 12894.61)(494.2627, 4802.19)(529.2088, 892.48)"
480.253@2.0669677,1,128545,121033,1,76577,103423,1,78138,76839,1,1,1,77837,124688,89988,108652,102907,68690,119835,1,1,90967,1,59959,93164,1,88992,51005,101821,58576,83769,116088,117490,127374,1,1,1,118117,70182,1,84884,1,111376,1,1,109351,63963,100239,480.253@2.0669677,480.253,2.0669677,31,+,"(983.4896, 338.01)(481.2602, 17232.96)(482.2606, 7137.73)(483.2685, 1406.09)"
517.2578@2.0732858,1,1,1,1,1,1,1,90871,1,1,1,1,1,108790,1,1,43611,1,1,1,1,1,1,1,1,1,1,1,1,80007,1,1,1,1,1,1,1,1,117005,97210,86332,1,1,1,1,1,1,1,517.2578@2.0732858,517.2578,2.0732858,7,+,"(518.2651, 12144.33)(519.2666, 6632.99)(520.277, 6345.6)"
524.2581@2.0631459,49895,61664,70747,50372,1,61412,1,55218,90490,75154,54656,1,1,62976,68025,1,76685,75924,72645,43538,64801,61994,62573,58380,46542,63940,66565,63241,64332,60295,69478,70280,42417,39503,59344,72263,56386,1,69699,1,66376,64571,54274,47330,51409,62886,58547,63677,524.2581@2.0631459,524.2581,2.0631459,41,+,"(525.2655, 12809.9)(526.2717, 7734.3)(563.2083, 604.65)"
319.1821@2.087375,1,1,80744,100057,158992,182592,104430,99155,1,1,1,1,186459,101887,162561,161514,1,1,1,1,113978,158465,165066,124948,1,1,1,102478,1,156894,1,1,1,1,1,1,123132,150925,150933,147177,1,1,156860,97372,1,1,157682,105398,319.1821@2.087375,319.1821,2.087375,24,+,"(661.3499, 2152.4)(320.1896, 9016.93)(321.1858, 1914.29)(322.1785, 18007.88)(323.1796, 942.29)(639.3717, 12109.09)(640.3705, 7049.11)(641.3656, 3421.36)"
565.2392@2.066079,38693,1,34409,1,35422,33655,1,29693,1,1,1,1,34580,1,36941,1,35198,1,31651,29972,33866,34030,36197,31701,32268,31232,35362,35045,34042,31712,34977,30649,35401,31431,36074,32369,35355,35676,37287,31809,32233,32053,33833,35934,39144,34767,35302,32891,565.2392@2.066079,565.2392,2.066079,38,+,"(566.2464, 12510.94)(567.2506, 4381.43)"
468.6756@2.0650811,32178,1,31078,29581,25049,1,27758,23507,1,1,1,1,25737,30266,32574,20738,1,1,29221,24469,23388,24095,27972,25080,30778,33027,28927,26732,28408,20540,1,1,29405,24806,28007,1,31419,25570,26777,29980,29160,22041,28054,28257,34712,28777,21207,25629,468.6756@2.0650811,468.6756,2.0650811,37,+,"(469.6824, 8733.39)(470.6856, 2458.35)(471.6842, 934.61)(938.3603, 430.19)"
278.1267@2.0802104,1,25063,28546,1,21794,20909,1,1,1,1,1,1,1,21951,22624,24671,1,1,1,1,23003,19606,1,1,1,1,29132,1,25762,1,1,1,1,1,1,1,25179,24833,21720,20102,1,1,22460,20643,18925,1,1,21941,278.1267@2.0802104,278.1267,2.0802104,19,+,"(279.1348, 2298.96)(280.1469, 440.52)(281.1425, 6656.04)"
363.2124@2.0162857,1,1,1,1,1,1,1,1,1,1,1,79315,1,1,1,1,1,27874,1,78267,1,1,1,1,1,1,76343,1,1,1,44687,1,1,1,1,1,1,1,52653,1,1,1,1,1,76684,1,1,1,363.2124@2.0162857,363.2124,2.0162857,7,+,"(364.22, 8517.04)(365.2158, 5267.01)(366.2102, 2512.66)"
686.36@2.0781245,59862,67177,67502,62260,65846,56307,58484,56080,73949,56775,67257,68577,56672,59240,58164,59798,60853,62721,69234,52091,65412,64123,55662,43250,67995,54315,69768,56220,62391,46719,61103,61809,68066,60432,69467,68113,59885,53529,57702,52220,53786,57890,57621,55462,64082,65021,58852,52197,686.36@2.0781245,686.36,2.0781245,48,+,"(709.3444, 699.12)(710.3537, 957.92)(711.348, 1293.78)(687.3671, 14642.75)(688.3661, 7155.73)(689.368, 3958.33)"
741.3924@2.0834582,309644,300150,298068,308208,307534,305048,314066,295446,309060,321834,302496,280203,307773,306654,324938,311472,310867,306764,308259,280570,339885,318525,311668,281048,298275,282865,299365,298739,303739,313248,321433,288000,301221,300832,295925,295142,319965,303842,316733,318748,301306,303447,306050,319828,304254,297246,314128,297475,741.3924@2.0834582,741.3924,2.0834582,48,+,"(764.3813, 1377.5)(765.3747, 918.58)(766.3694, 914.93)(767.3528, 280.62)(742.3992, 83366.8)(743.4017, 28148.27)(744.4031, 9077.57)(745.3932, 2354.56)(780.3446, 803.92)(781.349, 102.68)(782.3365, 633.22)"
184.067@2.0810502,22774,1,23651,1,22987,1,25036,1,1,1,1,1,23631,1,27225,20144,1,1,26106,1,24813,15015,21402,1,23737,1,21630,1,25701,16634,1,1,25233,1,1,1,24689,1,24894,1,21830,1,1,1,26113,1,1,1,184.067@2.0810502,184.067,2.0810502,20,+,"(185.0745, 8612.97)(186.0791, 1108.69)(187.0721, 859.21)(369.1397, 764.98)"
418.2236@2.0982974,110057,189952,109743,205658,96440,104432,116777,98151,20551,1,1,1,152851,103832,123925,114276,1,1,1,112609,99587,101963,106251,100191,1,116018,1,102686,111523,108474,18386,1,91947,129450,1,126285,291416,104191,115378,141367,17923,137192,109069,184111,119477,1,135648,101620,418.2236@2.0982974,418.2236,2.0982974,37,+,"(859.4297, 541.0)(419.2311, 27675.62)(420.2338, 5820.38)(421.2407, 22225.35)"
342.6964@2.0367272,58278,36179,1,1,28758,1,1,33248,1,1,1,1,1,1,1,35348,1,1,39935,1,1,1,1,1,1,1,1,1,1,30949,1,1,1,1,26710,1,1,1,25308,1,1,30244,1,1,1,24194,1,1,342.6964@2.0367272,342.6964,2.0367272,11,+,"(343.7105, 5145.54)(344.7056, 2281.17)(345.6999, 3382.44)(724.3594, 401.82)(725.3736, 343.53)(726.3563, 672.74)(686.4078, 2542.71)"
484.7401@2.0861213,110687,106116,1,107410,115016,105351,1,96233,1,1,1,1,111177,78977,108216,106578,1,1,108796,92677,122615,94230,118771,1,97801,32677,106469,108229,111127,1,1,1,113005,91773,105268,94908,109149,98279,109486,99693,104860,97526,93078,1,109848,1,1,99326,484.7401@2.0861213,484.7401,2.0861213,33,+,"(992.4658, 526.64)(993.4649, 341.01)(485.7483, 9569.93)(486.7581, 1516.42)(487.7611, 2281.06)(970.4845, 7005.96)(971.487, 3686.05)(972.4834, 1430.94)(973.4775, 628.0)"
523.7417@2.0842,73390,1,44085,44311,55172,56517,61007,1,1,1,1,1,1,1,56927,55200,49570,1,1,44270,59488,1,1,1,45767,51655,1,1,61548,54648,1,1,1,1,1,47329,1,1,51114,1,47967,1,1,1,48748,1,1,64150,523.7417@2.0842,523.7417,2.0842,20,+,"(524.7489, 8052.46)(525.7571, 1600.5)(526.7637, 816.39)"
489.5773@2.038,1,1,1,159677,1,102570,1,1,153692,1,1,1,1,1,1,1,151957,1,1,1,119458,1,1,1,1,159917,1,1,1,1,1,1,1,157678,54933,162688,1,1,121459,123396,1,149230,1,1,173414,1,1,1,489.5773@2.038,489.5773,2.038,13,+,"(490.5783, 14326.44)(491.5881, 1580.75)(492.5806, 370.99)(528.5298, 880.58)(529.5205, 476.35)(530.5189, 826.34)"
442.2114@2.077258,1868528,1,1,1,1286358,1,1492752,936519,1,1272588,1,1,1342375,1,1316338,1321157,1861969,1,1033795,1651509,1336591,1028323,1,1,1818351,1,1923697,1,1445224,1073839,1,1,1,1918098,670811,1891228,1196475,1007346,2029603,1208107,870127,841650,1152444,1959473,1949008,1,1115935,1365055,442.2114@2.077258,442.2114,2.077258,31,+,"(465.2019, 20433.44)(466.2054, 5489.61)(443.2086, 216144.9)(444.2108, 34931.06)(445.2226, 4520.99)(885.4286, 2565.39)(886.4295, 1232.19)(887.43, 817.15)"
613.6601@2.1196156,1,1,1,1,1,1,1,48808,1,1,1,1,55275,50330,60227,1,1,1,1,1,1,36955,37048,1,1,1,1,1,46492,1,1,37911,1,1,1,1,1,43613,59584,1,1,1,50576,46982,1,1,1,36609,613.6601@2.1196156,613.6601,2.1196156,13,+,"(636.6495, 470.81)(614.6676, 5810.21)(615.6681, 1524.24)(616.6505, 477.79)(617.6432, 125.16)(652.6261, 638.47)"
397.7243@2.1085455,23520,24594,26052,24360,78025,52962,1,58507,1,1,1,1,59745,25023,25552,21687,1,1,24469,1,1,58137,33214,23582,21724,24750,24925,21430,30680,20687,1,1,21591,21721,1,23101,24980,1,62214,29943,1,27172,61456,62405,22503,21079,30293,1,397.7243@2.1085455,397.7243,2.1085455,33,+,"(398.7321, 6968.85)(399.7362, 1973.6)(400.7254, 12543.13)(401.7266, 1823.23)(436.6906, 1395.24)(796.4522, 916.47)(797.4501, 479.03)"
613.9938@2.112,1,1,1,1,43604,38064,1,31125,1,1,1,1,46620,1,38094,42858,1,1,1,1,1,1,1,1,1,1,1,1,47003,1,1,1,1,1,1,1,1,1,50591,39631,1,1,46091,1,1,1,1,1,613.9938@2.112,613.9938,2.112,10,+,"(615.0011, 6148.27)(615.9941, 1427.19)(616.9859, 486.14)"
240.0774@2.0994878,24996,18661,22409,23484,27398,24013,1,22434,1,1,1,1,23511,24066,23132,23321,1,1,20517,25632,27274,24028,20191,22763,23106,23645,19157,19677,18859,20302,1,1,26335,22733,21700,22769,29806,23645,24787,19743,16444,18526,25651,17545,23500,20420,22949,18445,240.0774@2.0994878,240.0774,2.0994878,39,+,"(241.0842, 7460.85)(242.087, 605.69)(243.0812, 777.77)(481.1668, 1359.79)(482.163, 761.96)(483.1601, 444.3)"
419.1369@2.0978777,383039,376182,369598,366539,380133,366186,384488,343863,1,370228,1,1,387571,362070,388286,367617,1,1,354612,325678,367715,356247,380130,355154,357552,353760,365878,349978,361501,358137,1,1,342898,337940,364629,339609,379194,354674,364300,353145,361809,360647,366460,378693,360664,351486,372361,350171,419.1369@2.0978777,419.1369,2.0978777,41,+,"(442.1252, 1617.12)(443.1255, 574.65)(420.1441, 118561.38)(421.1471, 21171.56)(422.144, 6925.14)(423.1541, 852.7)(458.0997, 477.37)"
498.7543@2.1724002,37547,1,1,175668,158525,137015,150020,135521,167649,1,1,1,150335,1,1,1,171183,44096,163209,42805,1,1,1,1,36949,1,1,46231,150608,143283,150337,144928,40968,1,1,1,1,121368,150013,1,1,36610,129987,1,44377,1,132194,1,498.7543@2.1724002,498.7543,2.1724002,25,+,"(499.7616, 36498.4)(500.7659, 13006.22)(501.771, 4419.74)"
500.2125@2.1022298,61719,65937,67472,64281,64029,63858,68002,65105,62040,61776,63288,58206,68359,60612,61506,64558,62105,59976,63327,57886,68335,62746,68137,57634,60134,61138,61837,62586,68434,60603,63149,59021,59537,63834,60611,56769,61958,62095,60507,64598,61271,62932,60139,64231,60029,60766,57492,61966,500.2125@2.1022298,500.2125,2.1022298,48,+,"(523.2041, 1329.53)(501.2199, 22195.09)(502.224, 6598.56)(539.1785, 610.93)"
536.3687@2.1034145,73934,75261,77350,71137,69104,74252,69763,55725,1,29683,1,1,65527,1,61622,67418,32643,1,60622,52720,64281,57029,64416,60805,61575,55867,69250,71858,66555,68824,1,44111,48351,63663,64084,52195,61954,54612,74385,55584,65018,58233,63211,60444,1,69614,62303,67596,536.3687@2.1034145,536.3687,2.1034145,41,+,"(537.3761, 10116.61)(538.3789, 3166.88)(539.3817, 757.48)"
398.2522@2.1071792,127150,121782,111206,115951,124699,115470,124890,98349,1,1,1,1,126749,1,129636,114409,1,1,100922,109574,113937,112097,125969,84387,120284,88586,121935,117882,128761,90405,1,1,109175,113531,109928,113419,125037,118106,116063,110918,89552,117135,120983,121675,117344,95534,100952,103472,398.2522@2.1071792,398.2522,2.1071792,39,+,"(399.2593, 23133.54)(400.2557, 5584.19)(401.2703, 739.16)"
498.2525@2.115295,538191,239875,562488,586513,566005,544223,528935,512695,1,577893,552441,306560,564279,510432,558982,545465,524585,308772,408420,519146,533239,498169,517526,283889,530133,527619,490730,319525,566608,546433,198355,1,496404,1,505745,328042,551330,532422,533412,548532,551457,1,544533,583977,558671,546532,541581,552345,498.2525@2.115295,498.2525,2.115295,44,+,"(499.2482, 70152.44)(500.2549, 12889.15)(501.2546, 8379.52)(997.5108, 26309.21)(998.5134, 13985.15)"
359.2058@2.1006095,454805,424729,534242,477137,452091,445459,206503,450277,1,204653,1,1,494814,392029,461111,490799,1,1,390716,467798,414718,438037,473045,331288,501324,204374,501979,428333,456315,442987,1,1,541989,393223,469155,479111,372402,306038,475840,478252,494663,362202,481827,478135,91713,497202,185118,458507,359.2058@2.1006095,359.2058,2.1006095,41,+,"(360.213, 116052.75)(361.215, 21858.79)(362.2085, 12420.16)(757.3793, 1034.56)(758.383, 989.43)(759.3855, 1079.79)(398.1656, 3449.37)(719.4178, 7494.0)"
437.229@2.1188889,1,69525,1,41576,1,1,1,1,1,1,1,1,1,106739,57266,1,1,1,39315,1,96778,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80931,1,54490,1,1,1,1,76015,1,1,1,1,437.229@2.1188889,437.229,2.1188889,9,+,"(438.2364, 10012.08)(439.2388, 6562.99)(440.2447, 9911.38)(875.4643, 950.18)(876.4635, 508.09)"
367.1813@2.112517,1,76271,103031,73400,56718,137094,51422,140277,1,27381,1,1,118850,1,1,125009,1,1,114420,1,142403,119540,139456,138791,66939,1,1,85275,98560,153415,1,1,1,106559,69862,119714,127071,127549,132380,108379,1,1,120796,134694,1,61076,1,1,367.1813@2.112517,367.1813,2.112517,29,+,"(368.1883, 14319.72)(369.1974, 2109.35)(370.1753, 1654.18)(406.1402, 593.59)(735.3703, 6536.52)(736.3704, 2345.17)(737.3555, 616.97)"
405.7229@2.1207607,1364657,1305462,1376623,1199416,1493351,1273262,1485769,1255932,1435117,1204964,1255306,38944,1516067,1308896,1477599,1291992,1301073,149642,1335762,1025220,1500786,1242957,1479734,1253692,1281521,1171207,1317632,1209081,1438269,1285069,1,1,1300795,1148426,1259245,1133486,1433852,1177941,1481143,1285744,1309797,1152674,1442706,1354144,1340058,1174819,1432317,1276130,405.7229@2.1207607,405.7229,2.1207607,46,+,"(834.4335, 7434.55)(835.4349, 3231.22)(836.4254, 1203.93)(837.4269, 311.88)(406.7302, 51982.3)(407.7335, 14756.24)(408.7341, 980.21)(850.4035, 1808.97)(851.4054, 969.15)(852.4067, 746.24)(812.453, 192961.27)(813.4553, 71399.7)(814.4567, 16593.44)(815.4572, 3399.12)(816.4568, 487.63)"
432.1819@2.114206,47569,35313,45701,43127,1,1,23595,20007,50371,48265,53639,33044,1,20188,26908,1,55846,35474,1,45935,20103,1,16488,1,53064,35798,55542,30654,21167,1,1,1,52127,34631,32695,41134,1,18917,19534,1,47712,36794,22934,1,56755,40581,25519,1,432.1819@2.114206,432.1819,2.114206,34,+,"(433.1849, 13500.17)(434.1875, 5636.74)(435.1913, 3701.39)(865.3664, 910.22)(866.3726, 870.08)(867.374, 698.06)"
595.331@2.1216571,83443,73927,91571,59596,22527,1,23429,1,1,58702,1,1,1,1,74663,72644,76020,91924,97445,42817,1,88359,67045,84156,87757,90029,80863,54855,1,71182,31978,31233,51234,1,81383,63569,26699,75830,20966,78620,78051,1,1,1,65184,88920,20082,79439,595.331@2.1216571,595.331,2.1216571,35,+,"(596.3372, 4517.7)(597.3393, 2178.65)(598.3339, 8399.33)(599.3334, 3558.98)(600.314, 2085.09)"
606.2851@2.1147027,1,31126,36913,1,55313,38022,35025,38446,1,27791,35111,1,37169,31425,35283,32690,1,1,36669,34009,30386,33146,30943,41635,1,37366,42205,40623,1,43457,57568,1,31254,1,30953,29611,48392,35323,47414,37377,1,29186,43319,44467,38406,35872,50877,36348,606.2851@2.1147027,606.2851,2.1147027,37,+,"(629.2683, 1608.89)(607.2929, 8252.18)(608.3023, 2783.15)(609.2978, 1943.16)"
426.2851@2.1163023,1769489,1785515,1815830,1739440,1818936,1726435,1848733,1742401,1,1617373,1610603,1,1832909,1645336,1806009,1820313,1014041,1,1712531,1521479,1838704,1700313,1809277,1786495,1673933,1653322,1610863,1686127,1735510,1743933,1,1,1671158,1623547,1661839,1538191,1831800,1702334,1794737,1745551,1689151,1720364,1813521,1842866,1762771,1720906,1713148,1764985,426.2851@2.1163023,426.2851,2.1163023,43,+,"(449.2709, 13316.79)(450.2608, 3208.79)(427.2926, 659956.9)(428.2953, 133161.55)(429.2969, 18412.6)(430.2987, 2559.96)(465.25, 2972.79)(853.5772, 4514.67)(854.5799, 2043.83)(855.5843, 692.8)"
214.1323@2.1141858,369657,399341,370517,387125,390207,387813,369488,375910,1,331677,281767,1,390284,379517,377381,372972,1,1,365871,195996,382965,382067,357283,356975,345039,353311,353467,346165,378365,372693,1,359021,303783,354362,339827,356579,364097,373934,368894,376751,362915,353815,368507,404054,356328,368840,364792,367240,214.1323@2.1141858,214.1323,2.1141858,43,+,"(451.2547, 4246.37)(215.1399, 108266.95)(216.1426, 11458.27)(217.1352, 1589.34)"
483.3061@2.0711253,25784,167695,169421,160702,22410,19705,21724,163983,171484,161559,156538,149827,180049,23528,19290,23325,171194,152394,188956,142138,177208,162230,29044,22958,23812,156518,150812,24830,172091,20276,174468,22356,159287,151427,158793,24012,21966,163086,169085,18844,176936,153625,171042,171953,26548,154936,171378,23633,483.3061@2.0711253,483.3061,2.0711253,48,+,"(506.2902, 2650.38)(484.3135, 59724.0)(485.316, 15044.4)(486.316, 2945.15)(522.2721, 2916.88)"
406.2243@2.1193752,88968,84946,72417,1,79487,77711,73759,68719,97937,77076,80687,77400,74157,62908,90224,73023,71465,67612,1,64380,72937,63601,68170,1,68962,75407,87713,76818,70864,75787,1,1,69882,63174,73596,1,68778,62617,94328,83391,1,72996,69316,67439,87492,76494,64961,1,406.2243@2.1193752,406.2243,2.1193752,40,+,"(835.4346, 1715.73)(407.2316, 21890.19)(408.2364, 6916.69)(409.2307, 3419.26)(851.4095, 804.08)(852.4123, 599.57)(853.4204, 520.45)"
206.0945@2.1085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17471,1,1,17730,1,1,1,1,1,1,206.0945@2.1085,206.0945,2.1085,2,+,"(207.1019, 5404.08)(208.0993, 1470.33)"
410.2535@2.1300006,89406,625625,88524,578550,86138,689304,84249,625732,82276,680587,84870,554530,86070,736815,87119,602767,80694,672035,89253,549200,89173,727119,88941,662408,73343,690698,75324,630496,86734,771808,44524,626984,85963,667949,78804,646242,87566,760659,91758,651279,77966,712393,91186,735483,81500,616903,97491,639712,410.2535@2.1300006,410.2535,2.1300006,48,+,"(843.4967, 732.68)(411.2608, 183327.88)(412.2633, 36455.86)(413.2652, 6131.02)(449.2171, 7024.54)"
396.1855@2.1233497,91683,89585,104930,1,162172,165386,165245,169785,89725,90046,83290,1,1,80746,182991,176033,89560,90562,1,77160,178183,166206,173036,140047,77564,88015,1,76448,162485,152362,1,1,84997,75205,84362,74889,163859,180065,163492,152000,82084,78122,168350,186657,1,88375,152281,185356,396.1855@2.1233497,396.1855,2.1233497,40,+,"(815.3646, 537.08)(397.1931, 20686.85)(398.1949, 3805.9)(793.3763, 12154.95)(794.379, 4781.71)(795.3685, 3317.41)(796.3648, 792.39)"
488.2645@2.1190412,2807839,2873880,2704757,2801466,2862709,2827019,2847657,2668335,2800273,2760045,2689584,2553072,2750042,2846126,2822155,2756661,2841945,2671041,2750404,2441573,2942313,2777672,2831103,2715517,2647750,2606245,2719515,2558683,2790092,2717790,2289271,2823177,2657515,2664657,2683174,2616189,2744014,2701493,2769686,2665998,2810414,2642163,2785032,2918130,2684248,2690969,2849987,2651605,488.2645@2.1190412,488.2645,2.1190412,48,+,"(511.2561, 6206.4)(489.2718, 800044.06)(490.2749, 212018.38)(491.2769, 36991.75)(492.276, 8882.82)(527.2274, 2295.77)(977.5314, 805.01)(978.5175, 700.75)"
313.2004@2.1344438,52910,647484,52448,608286,55232,719713,61000,619823,55053,709607,22552,1,53296,762600,60957,681677,55046,662739,52137,375520,57168,773983,56783,675362,49139,701239,49392,605856,59913,796220,1,1,52849,671692,51405,617352,67038,761262,51880,667669,50231,701118,53890,765766,53015,590360,60811,631539,313.2004@2.1344438,313.2004,2.1344438,45,+,"(336.1912, 8185.24)(314.2084, 275388.44)(315.2108, 41224.83)(316.2154, 6157.65)(352.1637, 2232.07)(627.4065, 438.94)"
242.1275@2.1229296,1011102,1112333,1024087,1043197,1110182,1054573,1103961,956211,724464,1053268,983730,1,1071559,1116056,1,1064140,636083,1,1020435,848813,979801,1106328,1073257,995658,939871,1076454,969179,1006250,1066809,1028979,1,1,883655,954557,943128,958037,1044764,993312,1041495,1005959,980211,1011671,1009350,1129521,988578,1002520,1014698,990313,242.1275@2.1229296,242.1275,2.1229296,43,+,"(265.1153, 14799.6)(266.1186, 1535.83)(267.106, 434.64)(243.135, 362700.9)(244.1375, 32915.38)(245.1376, 5859.24)(246.1422, 1079.21)(485.2596, 6535.71)(486.2579, 5023.04)(487.2592, 6586.92)"
196.1214@2.122866,47504,59505,49076,51740,53640,51395,44791,50306,38254,50130,35157,24004,30249,53204,43983,55295,1,1,49965,46822,48869,51590,42280,52131,46113,51700,49396,53269,46167,48253,26928,1,45962,50514,46120,52700,45920,51280,42777,54998,50146,51308,42022,53019,48437,53288,42290,53684,196.1214@2.122866,196.1214,2.122866,45,+,"(197.1287, 17554.35)(198.1315, 1810.74)(199.138, 205.35)"
627.8213@2.1272228,59635,62265,57095,67798,71111,55890,59655,57126,64376,70373,61050,1,65394,59955,61483,60956,46993,1,62933,56402,61248,55019,71723,61430,56855,59712,62232,59908,61307,57876,63373,1,56622,60177,60556,56933,70691,74077,70463,72140,54711,58069,60944,62360,58932,59213,58700,58530,627.8213@2.1272228,627.8213,2.1272228,45,+,"(628.8284, 16254.53)(629.8306, 3985.31)(630.8217, 1764.13)(631.8159, 641.49)"
476.2287@2.12572,1,40629,39070,1,1,37203,51846,41643,1,1,1,1,38787,54727,1,1,62670,37640,42572,1,1,1,46363,46182,37094,1,43368,1,50643,43263,1,34333,38492,43857,1,35108,39946,1,46542,1,1,1,46556,36556,1,1,44555,1,476.2287@2.12572,476.2287,2.12572,25,+,"(477.2365, 12554.52)(478.2502, 5661.99)(479.2519, 3316.21)"
680.3195@2.1392648,35370,1,1,42058,48248,43455,42601,39950,58319,1,1,1,46996,1,54660,48753,46337,34599,47393,30830,52729,36042,43246,42876,49162,1,42521,1,38165,23635,1,51928,123886,145171,1,1,45867,41711,44242,42360,1,1,37741,54226,1,36551,36727,35328,680.3195@2.1392648,680.3195,2.1392648,34,+,"(681.3223, 23805.0)(682.3354, 8210.93)(683.3464, 1968.29)"
375.7028@2.1395333,1,1,1,1,44094,1,1,40847,1,1,33421,1,41684,1,68561,1,1,1,1,1,1,45574,43637,1,33629,1,1,1,1,1,36702,1,1,1,1,1,46863,37393,56551,1,46660,1,44345,1,48312,1,1,1,375.7028@2.1395333,375.7028,2.1395333,15,+,"(774.3914, 1690.72)(775.3979, 1031.91)(776.3688, 780.24)(376.7099, 7029.2)(377.7087, 3471.19)(378.7153, 3650.97)"
